AA	Apo
AA	Dpo
AA	Fpo
AE	Apo
AE	Dpo
AE	Fpo
AK	Adak
AK	Akiachak
AK	Akiak
AK	Akutan
AK	Alakanuk
AK	Aleknagik
AK	Allakaket
AK	Ambler
AK	Anaktuvuk Pass
AK	Anchor Point
AK	Anchorage
AK	Anderson
AK	Angoon
AK	Aniak
AK	Anvik
AK	Arctic Village
AK	Atka
AK	Atqasuk
AK	Auke Bay
AK	Barrow
AK	Beaver
AK	Bethel
AK	Bettles Field
AK	Big Lake
AK	Brevig Mission
AK	Buckland
AK	Cantwell
AK	Central
AK	Chalkyitsik
AK	Chefornak
AK	Chevak
AK	Chicken
AK	Chignik
AK	Chignik Lagoon
AK	Chignik Lake
AK	Chitina
AK	Chugiak
AK	Circle
AK	Clam Gulch
AK	Clarks Point
AK	Clear
AK	Coffman Cove
AK	Cold Bay
AK	Cooper Landing
AK	Copper Center
AK	Cordova
AK	Craig
AK	Crooked Creek
AK	Deering
AK	Delta Junction
AK	Denali National Park
AK	Dillingham
AK	Douglas
AK	Dutch Harbor
AK	Eagle
AK	Eagle River
AK	Eek
AK	Egegik
AK	Eielson AFB
AK	Ekwok
AK	Elfin Cove
AK	Elim
AK	Emmonak
AK	Ester
AK	Fairbanks
AK	False Pass
AK	Fort Greely
AK	Fort Wainwright
AK	Fort Yukon
AK	Gakona
AK	Galena
AK	Gambell
AK	Girdwood
AK	Glennallen
AK	Goodnews Bay
AK	Grayling
AK	Gustavus
AK	Haines
AK	Healy
AK	Holy Cross
AK	Homer
AK	Hoonah
AK	Hooper Bay
AK	Hope
AK	Houston
AK	Hughes
AK	Huslia
AK	Hydaburg
AK	Hyder
AK	Iliamna
AK	Indian
AK	Jber
AK	Juneau
AK	Kake
AK	Kaktovik
AK	Kalskag
AK	Kaltag
AK	Karluk
AK	Kasigluk
AK	Kasilof
AK	Kenai
AK	Ketchikan
AK	Kiana
AK	King Cove
AK	King Salmon
AK	Kipnuk
AK	Kivalina
AK	Klawock
AK	Kobuk
AK	Kodiak
AK	Kongiganak
AK	Kotlik
AK	Kotzebue
AK	Koyuk
AK	Koyukuk
AK	Kwethluk
AK	Kwigillingok
AK	Lake Minchumina
AK	Larsen Bay
AK	Levelock
AK	Lower Kalskag
AK	Manley Hot Springs
